protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_baseline,Morgan+Physical,8,2,377,80,78,19,0,4.198869341192245,4.774358786060338,0.7717834264866437,0.8925254618727461
room_baseline,Morgan,8,3,406,51,78,19,0,17.606692211824303,29.3595783018521,-0.12721636982644902,0.41105938332601916
room_baseline,Physical,8,3,406,51,78,19,0,11.805470121196672,18.969915965075106,0.5294145725659654,0.6988137227208994
room_baseline,Morgan+Physical,8,3,406,51,78,19,0,13.75130773447074,23.59585822369546,0.27191980721869446,0.719028941985849
room_baseline,Morgan,8,4,349,108,78,19,0,13.178153026439523,17.44241166153482,-0.2296731940218506,0.41322385157165115
room_baseline,Physical,8,4,349,108,78,19,0,5.93237174212491,8.98349949602199,0.6738121823612417,0.8793266753673494
room_baseline,Morgan+Physical,8,4,349,108,78,19,0,7.967854383980785,10.403494443673758,0.5625432514581624,0.8595435240257073
room_baseline,Morgan,9,0,389,68,77,20,0,9.872007392883301,17.598002881008338,0.1776076775296016,0.7566212274031847
room_baseline,Physical,9,0,389,68,77,20,0,5.307263039504781,7.121995510728184,0.8653036989613,0.8812710002864316
room_baseline,Morgan+Physical,9,0,389,68,77,20,0,6.7105848470295175,11.21243382188993,0.666149474735175,0.9213995325860296
room_baseline,Morgan,9,1,351,106,77,20,0,13.192489055417619,17.479404123300643,-0.4505420380820542,0.751295310237066
room_baseline,Physical,9,1,351,106,77,20,0,8.087346746120812,10.000404923791304,0.5251983238964839,0.9425562093992721
room_baseline,Morgan+Physical,9,1,351,106,77,20,0,4.42342320532169,6.0895937630237515,0.8239428300447731,0.9287941672867402
room_baseline,Morgan,9,2,359,98,78,19,0,6.476206584323181,17.416933767468908,0.10253416671490678,0.6649451981336082
room_baseline,Physical,9,2,359,98,78,19,0,6.197939206321872,16.329128479890866,0.21113890965718185,0.8835701283162948
room_baseline,Morgan+Physical,9,2,359,98,78,19,0,4.953953104587477,16.4179597333431,0.20253267857030888,0.7767574455065677
room_baseline,Morgan,9,3,366,91,78,19,0,13.56390558754722,24.391372783054692,-2.5749084907470885,0.29690745033829374
room_baseline,Physical,9,3,366,91,78,19,0,18.29727022062532,25.48678907916737,-2.9032169549970277,0.6847787330647529
room_baseline,Morgan+Physical,9,3,366,91,78,19,0,12.849823528294827,18.302320793090132,-1.0128192079977518,0.6278549038137965
room_baseline,Morgan,9,4,363,94,78,19,0,16.74775615171067,20.779215943209792,0.11983941321159719,0.5144819550393203
room_baseline,Physical,9,4,363,94,78,19,0,27.45948037417797,30.29179981481371,-0.8704829788387554,0.06850408855664057
room_baseline,Morgan+Physical,9,4,363,94,78,19,0,21.84339985549602,24.497248006059944,-0.2233147217606426,0.07300069256386349
room_plus_null_block_two_columns,Morgan,0,0,328,129,77,20,2,15.80106188420732,19.79736735084448,-1.2465833595490716,-0.2692634868251015
